FLWS;1-800 FLOWERS.COM, Inc.;5.01;330426103.14;n/a;1999;Consumer Services;Other Specialty Stores;http://www.nasdaq.com/symbol/flws
FCTY;1st Century Bancshares, Inc;7.29;67639557.87;n/a;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/fcty
FCCY;1st Constitution Bancorp (NJ);10.67;63901210.89;n/a;n/a;Finance;Savings Institutions;http://www.nasdaq.com/symbol/fccy
SRCE;1st Source Corporation;30.81;749377056.87;n/a;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/srce
FUBC;1st United Bancorp, Inc. (FL);7.32;250994316.12;n/a;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/fubc
VNET;21Vianet Group, Inc.;23.65;1409934150.9;n/a;2011;Technology;Computer Software: Programming, Data Processing;http://www.nasdaq.com/symbol/vnet
JOBS;51job, Inc.;75.06;2214494654.58;n/a;2004;Technology;Diversified Commercial Services;http://www.nasdaq.com/symbol/jobs
EGHT;8x8 Inc;10.31;902528399.37;n/a;n/a;Public Utilities;Telecommunications Equipment;http://www.nasdaq.com/symbol/eght
AVHI;A V Homes, Inc.;18.55;408135968.45;n/a;n/a;Capital Goods;Homebuilding;http://www.nasdaq.com/symbol/avhi
SHLM;A. Schulman, Inc.;33.59;974673001.99;n/a;1972;Basic Industries;Major Chemicals;http://www.nasdaq.com/symbol/shlm
AAON;AAON, Inc.;32.5;1194325892.5;n/a;n/a;Capital Goods;Industrial Machinery/Components;http://www.nasdaq.com/symbol/aaon
ASTM;Aastrom Biosciences, Inc.;3.61;15812890.22;n/a;1997;Health Care;Biotechnology: Biological Products (No Diagnostic Substances);http://www.nasdaq.com/symbol/astm
ABAX;ABAXIS, Inc.;41.07;914669970;n/a;1992;Capital Goods;Industrial Machinery/Components;http://www.nasdaq.com/symbol/abax
ABGB;Abengoa, S.A.;17.0701;0;n/a;2013;Consumer Services;Military/Government/Technical;http://www.nasdaq.com/symbol/abgb
ABMD;ABIOMED, Inc.;26.56;1047892848.32;n/a;n/a;Health Care;Medical/Dental Instruments;http://www.nasdaq.com/symbol/abmd
AXAS;Abraxas Petroleum Corporation;3.19;296235343.36;n/a;n/a;Energy;Oil & Gas Production;http://www.nasdaq.com/symbol/axas
ACTG;Acacia Research Corporation;13.85;691485487.5;n/a;n/a;Miscellaneous;Multi-Sector Companies;http://www.nasdaq.com/symbol/actg
ACHC;Acadia Healthcare Company, Inc.;51.44;2598854457.76;n/a;n/a;Health Care;Medical Specialities;http://www.nasdaq.com/symbol/achc
ACAD;ACADIA Pharmaceuticals Inc.;23.66;2149900680.2;n/a;1985;Health Care;Major Pharmaceuticals;http://www.nasdaq.com/symbol/acad
ACST;Acasti Pharma, Inc.;1.27;132391165.24;n/a;n/a;Health Care;Major Pharmaceuticals;http://www.nasdaq.com/symbol/acst
AXDX;Accelerate Diagnostics, Inc.;13.35;553618105.35;n/a;n/a;Capital Goods;Biotechnology: Laboratory Analytical Instruments;http://www.nasdaq.com/symbol/axdx
